strategy,runs,agentCount,collectionRateMean,collectionRateStd,remainingTrashMassMean,remainingTrashMassStd,collectedTrashMassMean,collectedTrashMassStd,totalTravelDistanceMetersMean,totalTravelDistanceMetersStd,totalIdleTimeSecondsMean,totalIdleTimeSecondsStd,midpointIdleRateMean,midpointIdleRateStd,averageZoneImbalanceMean,averageZoneImbalanceStd,finalZoneImbalanceMean,finalZoneImbalanceStd
random,10,20,0.715984165262025,0.011710827491807654,378.2,25.402537056146357,952.6,33.79086003969449,40648.73519557673,65.99092522215408,0.0,0.0,0.008174250832408435,0.003163319720445029,1267.8413854645032,459.90978430500644,354.94826956664144,141.7026103427669
trash_priority,10,20,0.7279862390024378,0.031854443117702656,361.9,42.82898810644751,968.9,57.904998824703284,40628.49608656706,104.65186060200429,0.0,0.0,0.006098779134295228,0.001970089744718331,574.5166518367113,83.10397805921527,322.64162302988194,90.81107101907988
uniform,10,20,0.7104467195358569,0.02247298077512347,385.7,37.32752931074389,945.1,38.187985312428076,40651.573710180186,79.56709975768315,0.0,0.0,0.007203107658157603,0.0010667409433682178,1145.304813372768,280.09147365364714,307.71046331961594,95.50139535858945
