strategy,runs,agentCount,collectionRateMean,collectionRateStd,remainingTrashMassMean,remainingTrashMassStd,collectedTrashMassMean,collectedTrashMassStd,totalTravelDistanceMetersMean,totalTravelDistanceMetersStd,totalIdleTimeSecondsMean,totalIdleTimeSecondsStd,midpointIdleRateMean,midpointIdleRateStd,averageZoneImbalanceMean,averageZoneImbalanceStd,finalZoneImbalanceMean,finalZoneImbalanceStd
random,10,20,0.9963154016212232,0.011651723139898236,5.0,15.811388300841896,1325.8,51.8004718983224,28520.689851793668,6302.772907367982,5.5,5.359311730271176,0.008766600149249786,0.004757313313996249,1000.3627965244199,345.3313038959892,1.7283950617283952,5.4656650916490515
trash_priority,10,20,1.0,0.0,0.0,0.0,1330.8,52.1957852704603,31999.81610615373,2059.2998566012616,12.2,5.692099788303083,0.006777992560850036,0.0021863395632413076,347.3992312799864,119.62062629420957,0.0,0.0
uniform,10,20,0.9959907478797224,0.012678368413936443,5.2,16.443843832875572,1325.6,58.18399932780298,22696.622923726878,6458.4650152433605,9.7,7.379400758568107,0.015413949086850374,0.01943211445382641,851.1646373466431,195.83923507436901,0.13904866850321398,0.43971049808387214
