strategy,runs,agentCount,collectionRateMean,collectionRateStd,remainingTrashMassMean,remainingTrashMassStd,collectedTrashMassMean,collectedTrashMassStd,totalTravelDistanceMetersMean,totalTravelDistanceMetersStd,totalIdleTimeSecondsMean,totalIdleTimeSecondsStd,midpointIdleRateMean,midpointIdleRateStd,averageZoneImbalanceMean,averageZoneImbalanceStd,finalZoneImbalanceMean,finalZoneImbalanceStd
random,1,20,0.3074679113185531,0.0,1187.0,0.0,527.0,0.0,3981.08727070585,0.0,31676.0,0.0,0.75,0.0,3258.7898934577483,0.0,3181.3224826388887,0.0
trash_priority,1,20,0.5023337222870479,0.0,853.0,0.0,861.0,0.0,6042.7892728422075,0.0,29155.0,0.0,0.8413429522752497,0.0,954.5884202877019,0.0,959.0252604166667,0.0
uniform,1,20,0.5571761960326721,0.0,759.0,0.0,955.0,0.0,5949.296491725763,0.0,29252.0,0.0,0.9304661487236404,0.0,1665.444559925114,0.0,1311.1318359375,0.0
