strategy,run,agentCount,elapsedTimeSeconds,initialTrashMass,collectedTrashMass,remainingTrashMass,collectionRate,totalTravelDistanceMeters,totalIdleTimeSeconds,midpointIdleRate,averageZoneImbalance,finalZoneImbalance,allTrashCollected
random,0,20,1800.0,1714,527,1187,0.3074679113185531,3981.08727070585,31676.0,0.75,3258.7898934577483,3181.3224826388887,False
trash_priority,0,20,1800.0,1714,861,853,0.5023337222870479,6042.7892728422075,29155.0,0.8413429522752497,954.5884202877019,959.0252604166667,False
uniform,0,20,1800.0,1714,955,759,0.5571761960326721,5949.296491725763,29252.0,0.9304661487236404,1665.444559925114,1311.1318359375,False
